nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
CODENSA S.A. ESP,TENA,-74.3895411831,4.65532786239,25797000,2103,2019,1,58.98,0,0,0,0,0,0,0,0,0,0,0,0,58.98,1
CODENSA S.A. ESP,LA GRAN VIA,-74.4133360845,4.65013360526,25797001,2103,2019,1,50.65,0,0,0,0,0,0,0,0,0,0,0,0,50.65,1
CODENSA S.A. ESP,TENJO,-74.1439551406,4.87195981007,25799000,2103,2019,1,12.68,0,0,0,0,0,0,0,0,0,0,0,0,12.68,1
CODENSA S.A. ESP,TIBACUY,-74.4526612198,4.34859760533,25805000,2103,2019,1,31.24,0,0,0,0,0,0,0,0,0,0,0,0,31.24,1
CODENSA S.A. ESP,TIBIRITA,-73.5045147407,5.05227733692,25807000,2103,2019,1,17.39,0,0,0,0,0,0,0,0,0,0,0,0,17.39,1
CODENSA S.A. ESP,TOCAIMA,-74.6363056249,4.45927226504,25815000,2103,2019,1,341.02,0,0,0,0,0,0,0,0,0,0,0,0,341.02,1
CODENSA S.A. ESP,TOCANCIPA,-73.9120940816,4.96478385194,25817000,2103,2019,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1
CODENSA S.A. ESP,UBALA,-73.5315000926,4.74752288166,25839000,2103,2019,1,273.91,0,0,0,0,0,0,0,0,0,0,0,0,273.91,1
CODENSA S.A. ESP,UBAQUE,-73.9334633747,4.4837999031,25841000,2103,2019,1,1020.58,0,0,0,0,0,0,0,0,0,0,0,0,1020.58,1
CODENSA S.A. ESP,VILLA DE SAN DIEGO DE UBATE,-73.814345661,5.30754135963,25843000,2103,2019,1,12.56,0,0,0,0,0,0,0,0,0,0,0,0,12.56,1
CODENSA S.A. ESP,SAN LUIS,-73.833694346,5.30619761304,25843007,2103,2019,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,1
CODENSA S.A. ESP,UNE,-74.0251807261,4.40245072334,25845000,2103,2019,1,773.28,0,0,0,0,0,0,0,0,0,0,0,0,773.28,1
