time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-11T06:43:45.062Z,17.5475,-95.5203,35.47,4.5,mb,,137,2.906,0.76,us,us60008diy,2020-03-11T20:47:21.443Z,"44km SE of Playa Vicente, Mexico",earthquake,8.8,10.6,0.044,154,reviewed,us,us
2020-03-11T06:39:53.880Z,17.9083,-66.8728,9,2.58,md,6,232,0.0671,0.05,pr,pr2020071008,2020-03-11T06:52:59.757Z,"7km SSE of Guanica, Puerto Rico",earthquake,0.84,0.52,0.38,2,reviewed,pr,pr
2020-03-11T06:19:59.090Z,17.8295,-66.8543,7,2.58,md,6,258,0.1477,0.09,pr,pr2020071007,2020-03-11T06:53:17.589Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.92,0.45,0.41,5,reviewed,pr,pr
2020-03-11T05:36:36.130Z,19.0563,-64.9396,32,3.63,md,4,336,1.2894,0.14,pr,pr2020071006,2020-03-11T05:59:07.937Z,"78km NNW of Road Town, British Virgin Islands",earthquake,2.23,12.69,0.15,3,reviewed,pr,pr
2020-03-11T05:17:01.160Z,17.8353,-66.8651,10,2.65,md,6,257,0.1405,0.07,pr,pr2020071005,2020-03-11T05:53:35.673Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.65,0.96,0.46,6,reviewed,pr,pr
2020-03-11T05:15:51.450Z,17.8336,-66.865,10,2.54,md,6,258,0.1422,0.06,pr,pr2020071004,2020-03-11T05:36:50.592Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.65,0.9,0.41,6,reviewed,pr,pr
2020-03-11T04:55:52.990Z,35.6018333,-117.3993333,8.31,2.77,ml,29,76,0.08179,0.14,ci,ci38390530,2020-03-11T15:20:19.095Z,"18km S of Trona, CA",earthquake,0.24,0.66,0.181,25,automatic,ci,ci
2020-03-11T04:32:31.750Z,39.4748333,-120.244,8.1,2.8,md,22,82,0.1365,0.06,nc,nc73352670,2020-03-12T02:09:12.241Z,"17km NNW of Truckee, CA",earthquake,0.2,0.64,0.157,46,reviewed,nc,nc
2020-03-11T04:28:07.341Z,61.4625,-150.0217,19.9,2.5,ml,,,,0.99,ak,ak02039hpe49,2020-03-11T14:29:22.085Z,"7km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-11T04:04:28.657Z,39.6846,140.6963,51.86,4.5,mb,,96,3.683,0.56,us,us60008dhz,2020-03-11T04:49:05.040Z,"15km NE of Kakudate, Japan",earthquake,9.9,8.4,0.072,57,reviewed,us,us
2020-03-11T03:13:24.890Z,17.9303,-66.896,12,2.48,md,6,224,0.0478,0.07,pr,pr2020071002,2020-03-11T04:32:55.355Z,"4km SSE of Guanica, Puerto Rico",earthquake,0.96,0.58,0.53,5,reviewed,pr,pr
2020-03-11T03:04:03.863Z,0.4376,126.3373,53.08,4.6,mb,,59,1.081,0.75,us,us60008dh2,2020-03-11T03:26:46.040Z,"120km WSW of Kota Ternate, Indonesia",earthquake,7.6,7.6,0.09,37,reviewed,us,us
2020-03-11T02:42:43.110Z,38.2466,74.0685,161.03,4.3,mb,,87,2.155,0.57,us,us60008dh0,2020-03-11T02:55:24.040Z,"12km NE of Murghob, Tajikistan",earthquake,8,13.3,0.238,5,reviewed,us,us
2020-03-11T02:22:08.560Z,17.9203,-66.9945,13,2.84,md,5,237,0.1277,0.08,pr,pr2020071000,2020-03-11T03:11:09.645Z,"8km SE of La Parguera, Puerto Rico",earthquake,1.05,0.63,0.09,2,reviewed,pr,pr
2020-03-11T01:29:49.790Z,36.6066667,-121.2088333,6.51,2.46,md,55,67,0.03967,0.08,nc,nc73352630,2020-03-13T04:27:04.879Z,"10km NW of Pinnacles, CA",earthquake,0.15,0.37,0.223,43,reviewed,nc,nc
2020-03-11T01:17:16.090Z,39.4751667,-120.2455,7.87,3.71,mw,16,70,0.1363,0.07,nc,nc73352615,2020-03-14T00:31:36.862Z,"17km NNW of Truckee, CA",earthquake,0.28,0.91,,4,reviewed,nc,nc
2020-03-11T01:01:47.965Z,-32.4116,-178.058,10,5.3,mb,,68,3.158,1.42,us,us60008dgf,2020-03-12T15:50:05.040Z,"134km SE of L'Esperance Rock, New Zealand",earthquake,9.2,1.4,0.075,60,reviewed,us,us
2020-03-11T00:00:38.263Z,-30.4045,-71.6566,27.09,4.3,mb,,179,0.269,0.84,us,us60008dfv,2020-03-11T00:54:03.040Z,"48km WNW of Ovalle, Chile",earthquake,4.4,3.8,0.307,3,reviewed,us,us
2020-03-10T23:27:51.820Z,41.8895,-125.861,18.2,3.54,ml,30,286,1.26,0.15,nc,nc73352575,2020-03-12T05:01:03.743Z,"132km W of Brookings, OR",earthquake,2.57,4.55,0.279,72,reviewed,nc,nc
2020-03-10T23:08:34.719Z,3.8935,97.273,108.79,5,mb,,63,1.365,1.39,us,us60008dfc,2020-03-10T23:29:22.040Z,"99km SW of Langsa, Indonesia",earthquake,7.3,6.1,0.06,88,reviewed,us,us
2020-03-10T23:03:37.770Z,17.8786,-66.8788,6,3.06,md,6,244,0.0965,0.29,pr,pr2020070024,2020-03-11T00:02:57.040Z,"15km S of Guanica, Puerto Rico",earthquake,1.63,0.79,0.19,3,reviewed,pr,pr
2020-03-10T22:31:17.910Z,17.8498,-66.8828,11,3,md,6,253,0.1253,0.24,pr,pr2020070022,2020-03-10T22:55:11.804Z,"13km S of Guanica, Puerto Rico",earthquake,1.54,1.1,0.11,4,reviewed,pr,pr
2020-03-10T22:30:51.000Z,17.9541,-66.7048,11,3.4,ml,6,232,0.1326,0.21,pr,pr2020070023,2020-03-11T11:40:07.750Z,"4km SSE of Tallaboa, Puerto Rico",earthquake,1.78,1.15,0,1,reviewed,pr,pr
2020-03-10T20:41:52.050Z,17.945,-66.9498,10,3.06,md,8,219,0.0767,0.11,pr,pr2020070021,2020-03-11T04:44:33.289Z,"9km SW of Guanica, Puerto Rico",earthquake,0.78,0.46,0.24,4,reviewed,pr,pr
2020-03-10T16:21:34.300Z,17.9296,-67.0371,7,2.93,md,7,244,0.1056,0.05,pr,pr2020070019,2020-03-10T17:13:27.040Z,"10km S of La Parguera, Puerto Rico",earthquake,0.82,0.26,0.19,2,reviewed,pr,pr
2020-03-10T16:18:45.977Z,52.0608,178.268,131.52,3.3,ml,,150,0.938,0.27,us,us60008d8n,2020-03-11T00:21:10.366Z,"20km NW of Little Sitkin Island, Alaska",earthquake,8.6,22.2,0.115,10,reviewed,us,us
2020-03-10T16:17:10.540Z,17.9251,-67.0376,6,3.2,md,8,244,0.1086,0.11,pr,pr2020070018,2020-03-10T16:49:01.040Z,"11km S of La Parguera, Puerto Rico",earthquake,0.94,0.38,0.17,3,reviewed,pr,pr
2020-03-10T14:39:55.440Z,17.7926,-66.8558,4,2.51,md,5,271,0.184,0.14,pr,pr2020070016,2020-03-10T16:45:26.483Z,"20km SSE of Guanica, Puerto Rico",earthquake,1.25,0.8,0.21,2,reviewed,pr,pr
2020-03-10T14:12:02.297Z,13.0818,-89.5651,57.7,4.3,mb,,197,1.324,0.83,us,us60008d59,2020-03-11T01:15:55.403Z,"52km SSW of La Libertad, El Salvador",earthquake,8.2,11.3,0.094,32,reviewed,us,us
2020-03-10T14:06:26.264Z,-5.884,102.9345,25.87,5.5,mww,,44,1.513,0.69,us,us60008d51,2020-03-11T14:08:30.067Z,"131km SW of Kuripan, Indonesia",earthquake,6.7,3,0.08,15,reviewed,us,us
2020-03-10T13:49:10.280Z,40.346,-125.2043333,4.62,2.79,ml,23,275,0.6614,0.29,nc,nc73352460,2020-03-12T02:36:02.908Z,"78km W of Petrolia, CA",earthquake,3.56,4.16,0.29,23,reviewed,nc,nc
2020-03-10T13:44:19.875Z,-22.1949,-67.8663,142.17,5.1,mww,,28,0.806,0.98,us,us60008d4v,2020-03-13T02:27:28.417Z,"87km NNE of San Pedro de Atacama, Chile",earthquake,7.4,5.5,0.061,26,reviewed,us,us
2020-03-10T13:34:53.300Z,40.3716667,-125.0415,7.03,2.54,md,20,284,0.5407,0.18,nc,nc73352450,2020-03-13T04:45:04.327Z,"64km W of Petrolia, CA",earthquake,1.23,0.97,0.201,24,reviewed,nc,nc
2020-03-10T13:34:44.750Z,17.8935,-66.8366,10,2.84,md,5,248,0.092,0.04,pr,pr2020070015,2020-03-10T16:47:07.676Z,"10km SSE of Maria Antonia, Puerto Rico",earthquake,0.86,0.52,0.02,3,reviewed,pr,pr
2020-03-10T13:07:32.865Z,-28.559,-68.7907,133.43,4.2,ml,,98,1.331,0.38,us,us60008d4l,2020-03-10T13:30:15.040Z,"61km WNW of Vinchina, Argentina",earthquake,9.1,19.2,0.052,48,reviewed,us,us
2020-03-10T12:53:46.890Z,19.7776667,-156.4675,4.52,2.68,ml,65,188,0.4421,0.23,hv,hv71420237,2020-03-11T00:55:31.990Z,"57km W of Kalaoa, Hawaii",earthquake,1.22,1.65,0.156,17,reviewed,hv,hv
2020-03-10T11:13:48.439Z,1.0863,-90.8586,10,5.5,mww,,142,10.455,1.23,us,us60008d3z,2020-03-11T11:16:01.420Z,"209km NNW of Puerto Ayora, Ecuador",earthquake,8.8,1.6,0.08,15,reviewed,us,us
2020-03-10T10:18:06.325Z,-6.8075,106.6758,22.8,5,mb,,116,1.165,1.73,us,us60008d3j,2020-03-11T07:35:06.103Z,"12km WSW of Cicurug, Indonesia",earthquake,3.9,4.6,0.076,55,reviewed,us,us
2020-03-10T09:21:30.335Z,60.0905,-153.4313,128.5,2.6,ml,,,,0.8,ak,ak02037x3rbq,2020-03-10T09:34:50.231Z,"58km SW of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-10T07:22:02.670Z,40.5974998,-125.220665,13.56,2.88,md,14,314,0.684,0.26,nc,nc73352335,2020-03-10T09:14:06.399Z,"81km W of Ferndale, CA",earthquake,16.41,22.78,0.02,3,automatic,nc,nc
2020-03-10T07:20:59.094Z,-0.6245,-20.7263,10,5,mb,,41,9.641,1.08,us,us60008d2b,2020-03-10T07:42:05.040Z,"Central Mid-Atlantic Ridge",earthquake,10.1,1.9,0.059,91,reviewed,us,us
2020-03-10T05:59:09.400Z,17.8263,-66.883,12,3.02,md,6,260,0.1488,0.06,pr,pr2020070011,2020-03-10T06:37:32.267Z,"16km S of Guanica, Puerto Rico",earthquake,0.87,0.51,0.24,2,reviewed,pr,pr
2020-03-10T05:49:12.830Z,19.5073333,-156.4851667,10.9,2.82,ml,60,238,0.4647,0.2,hv,hv71419817,2020-03-10T21:59:18.080Z,"53km WSW of Kailua-Kona, Hawaii",earthquake,1.63,2.34,0.137,22,reviewed,hv,hv
2020-03-10T05:45:07.428Z,-17.4423,-176.6026,10,4.9,mb,,75,3.442,0.82,us,us60008d1d,2020-03-10T06:09:50.040Z,"Fiji region",earthquake,9.7,1.9,0.075,56,reviewed,us,us
2020-03-10T05:29:52.960Z,17.9426,-66.9275,8,3.61,md,8,220,0.0582,0.17,pr,pr2020070010,2020-03-11T05:31:07.450Z,"7km SSW of Guanica, Puerto Rico",earthquake,2.19,0.94,0.17,4,reviewed,pr,pr
2020-03-10T05:23:50.420Z,17.8631,-66.8856,11,2.91,md,6,248,0.1122,0.04,pr,pr2020070008,2020-03-10T05:53:18.535Z,"12km S of Guanica, Puerto Rico",earthquake,0.73,0.66,0.18,4,reviewed,pr,pr
2020-03-10T04:04:51.136Z,57.9238,-156.1244,116.5,2.7,ml,,,,0.79,ak,ak02037u0zti,2020-03-10T22:58:59.040Z,"100km SSE of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-10T03:33:15.370Z,18.9021,-65.4261,35,2.7,ml,,280,0.606,0.42,us,us60008czx,2020-03-10T22:19:56.040Z,"66km NNE of Luquillo, Puerto Rico",earthquake,2.2,2,0.063,33,reviewed,us,us
2020-03-10T03:25:54.696Z,60.627,-153.2367,168.2,2.9,ml,,,,0.65,ak,ak02037tk2fk,2020-03-10T22:12:35.040Z,"28km WNW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-10T03:25:19.570Z,17.874,-66.9205,10,2.9,md,6,247,0.1092,0.05,pr,pr2020070007,2020-03-10T03:52:38.504Z,"10km S of Guanica, Puerto Rico",earthquake,0.65,0.59,0.14,4,reviewed,pr,pr
2020-03-10T03:15:12.530Z,17.8313,-66.8586,12,2.87,md,6,259,0.1453,0.04,pr,pr2020070006,2020-03-10T03:34:56.930Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.83,0.58,0.28,4,reviewed,pr,pr
2020-03-10T02:53:50.498Z,38.4129,44.3912,10,4.2,mb,,98,1.052,0.47,us,us60008czg,2020-03-10T21:32:19.040Z,"32km SE of Saray, Turkey",earthquake,4.2,2,0.107,24,reviewed,us,us
2020-03-10T02:19:23.720Z,17.8221,-66.8863,11,3.1,md,7,261,0.1532,0.11,pr,pr2020070004,2020-03-10T21:13:39.040Z,"17km SSE of Guanica, Puerto Rico",earthquake,1.01,0.69,0.16,5,reviewed,pr,pr
2020-03-10T01:54:05.130Z,17.8268,-66.8775,9,2.8,md,6,259,0.1483,0.08,pr,pr2020070003,2020-03-10T02:41:29.221Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.87,1.43,0.07,4,reviewed,pr,pr
2020-03-10T01:20:24.310Z,17.9488,-67.0061,9,2.86,md,6,224,0.1184,0.09,pr,pr2020070002,2020-03-10T01:49:06.792Z,"5km SE of La Parguera, Puerto Rico",earthquake,0.72,0.84,0.46,3,reviewed,pr,pr
2020-03-10T00:21:40.780Z,17.9811,-66.9975,8,3.19,md,6,191,0.1149,0.07,pr,pr2020070001,2020-03-10T01:24:33.663Z,"5km E of La Parguera, Puerto Rico",earthquake,0.58,1.35,0.07,3,reviewed,pr,pr
2020-03-10T00:20:14.593Z,32.8831,85.393,10,4.2,mb,,57,5.058,0.84,us,us60008cxq,2020-03-10T01:41:32.040Z,"131km ENE of Luring, China",earthquake,6.4,1.9,0.108,24,reviewed,us,us
2020-03-10T00:08:02.145Z,67.3943,-163.893,0,2.7,ml,,,,0.94,ak,ak02037ro0gp,2020-03-10T01:32:06.040Z,"38km WSW of Noatak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-03-10T00:03:20.530Z,17.8281,-66.8713,12,3.02,md,8,260,0.1472,0.15,pr,pr2020070000,2020-03-10T01:21:48.040Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.98,0.54,0.37,5,reviewed,pr,pr
2020-03-09T23:49:53.356Z,20.5844,-103.493,10,3.3,ml,,230,2.324,0.12,us,us60008cxl,2020-03-13T00:34:10.201Z,"4km NW of Santa Anita, Mexico",earthquake,8.6,2,0.181,4,reviewed,us,us
2020-03-09T23:47:01.729Z,-19.8923,-177.493,545.34,4.3,mb,,95,4.728,0.75,us,us60008cx7,2020-03-10T04:22:46.040Z,"151km ENE of Ndoi Island, Fiji",earthquake,12.4,9.5,0.114,22,reviewed,us,us
2020-03-09T23:18:02.900Z,17.928,-66.839,11,2.92,md,5,225,0.0619,0.08,pr,pr2020069023,2020-03-09T23:59:58.759Z,"7km SSW of Indios, Puerto Rico",earthquake,1.11,0.66,0.16,3,reviewed,pr,pr
2020-03-09T22:45:25.666Z,57.6842,-155.415,66.1,2.8,ml,,,,0.52,ak,ak02036hg6hg,2020-03-09T23:53:19.040Z,"95km WNW of Larsen Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-09T22:39:05.530Z,17.9461,-66.8438,10,3.03,md,6,218,0.0458,0.07,pr,pr2020069022,2020-03-09T23:16:44.160Z,"5km SSW of Indios, Puerto Rico",earthquake,0.95,0.62,0.17,4,reviewed,pr,pr
2020-03-09T22:19:29.900Z,37.7149,21.3779,10,4.4,mb,,173,0.69,0.81,us,us60008cvx,2020-03-09T22:34:50.040Z,"6km SE of Kardamas, Greece",earthquake,7.1,2,0.123,19,reviewed,us,us
2020-03-09T21:58:07.070Z,18.023,-66.7573,18,3.17,md,7,166,0.131,0.12,pr,pr2020069021,2020-03-11T16:58:23.990Z,"1km ENE of Magas Arriba, Puerto Rico",earthquake,1.15,0.7,0.14,4,reviewed,pr,pr
2020-03-09T21:44:27.602Z,36.1408,80.1687,10,4.3,mb,,91,5.876,1.03,us,us60008cv9,2020-03-09T22:07:50.040Z,"108km SSE of Hotan, China",earthquake,4.4,1.9,0.137,15,reviewed,us,us
2020-03-09T21:10:03.220Z,17.969,-66.6756,13,3.06,md,6,230,0.1013,0.25,pr,pr2020069020,2020-03-10T04:20:21.163Z,"5km SE of Tallaboa, Puerto Rico",earthquake,2.58,0.83,0.26,4,reviewed,pr,pr
2020-03-09T20:40:15.800Z,17.9485,-66.8303,17,3.6,ml,8,217,0.0557,0.18,pr,pr2020069019,2020-03-12T19:17:49.040Z,"15km S of Indios, Puerto Rico",earthquake,1.96,0.62,0.14,4,reviewed,pr,pr
2020-03-09T20:19:13.040Z,17.885,-66.8596,11,3.06,md,6,241,0.0922,0.05,pr,pr2020069018,2020-03-12T19:17:01.040Z,"11km SSE of Guanica, Puerto Rico",earthquake,0.7,0.51,0.06,5,reviewed,pr,pr
2020-03-09T19:59:10.830Z,17.8966,-66.8076,13,2.51,md,5,239,0.1062,0.18,pr,pr2020069017,2020-03-12T19:16:22.040Z,"7km SSE of Indios, Puerto Rico",earthquake,1.84,0.65,0,1,reviewed,pr,pr
2020-03-09T18:57:15.814Z,43.28,-69.8315,11.81,2.7,mb_lg,,150,0.942,0.29,us,us60008cmq,2020-03-09T20:55:58.040Z,"51km ESE of Old Orchard Beach, Maine",earthquake,1.7,7.7,0.128,16,reviewed,us,us
2020-03-09T18:38:51.098Z,32.7741,85.5139,10,4.1,mb,,112,4.928,0.92,us,us60008cme,2020-03-12T19:08:22.040Z,"135km ENE of Luring, China",earthquake,6.5,1.9,0.131,18,reviewed,us,us
2020-03-09T18:30:03.698Z,-32.2732,-67.7897,151.96,4.1,ml,,148,1.051,0.8,us,us60008cm2,2020-03-12T19:06:13.040Z,"83km SSE of Caucete, Argentina",earthquake,7.5,15,0.05,52,reviewed,us,us
2020-03-09T18:17:35.420Z,17.91,-66.697,6,3.15,ml,5,211,0.1935,0.3,pr,pr2020069016,2020-03-09T20:58:42.950Z,"9km SSE of Tallaboa, Puerto Rico",earthquake,1.89,1.25,0,0,reviewed,pr,pr
2020-03-09T18:12:09.373Z,32.8056,85.6105,10,5.3,mww,,37,4.941,0.72,us,us60008clh,2020-03-09T19:18:45.040Z,"145km ENE of Luring, China",earthquake,7.6,1.8,0.11,8,reviewed,us,us
2020-03-09T17:49:08.739Z,41.1755,-115.7595,7.4,2.6,ml,8,245.52,0.473,0.1798,nn,nn00718652,2020-03-10T02:08:41.266Z,"38km N of Elko, Nevada",earthquake,,8.3,0.17,7,reviewed,nn,nn
2020-03-09T16:21:19.268Z,62.246,-150.6114,1.6,2.6,ml,,,,0.95,ak,ak02036dqfci,2020-03-09T20:11:21.504Z,"22km WSW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-09T16:02:33.523Z,-1.7625,100.4093,66.28,4.5,mb,,177,2.168,0.66,us,us60008ch4,2020-03-10T00:05:13.067Z,"48km SSW of Painan, Indonesia",earthquake,8.8,8.8,0.111,24,reviewed,us,us
2020-03-09T15:29:17.011Z,-30.4216,-72.1817,17.77,4,mb,,202,0.958,0.49,us,us60008cgj,2020-03-09T17:10:47.040Z,"95km WSW of Coquimbo, Chile",earthquake,5.9,13.6,0.516,1,reviewed,us,us
2020-03-09T15:24:42.869Z,36.69816667,-97.678,7,2.68,ml,95,57,0,0.19,ok,ok2020evks,2020-03-09T17:08:47.040Z,"13km SSE of Medford, Oklahoma",earthquake,,0.5,0.23,30,reviewed,ok,ok
2020-03-09T14:52:55.210Z,17.8695,-66.8761,12,2.58,md,5,255,0.1056,0.07,pr,pr2020069013,2020-03-09T15:01:18.680Z,"11km SSE of Guanica, Puerto Rico",earthquake,0.86,0.55,0.16,2,reviewed,pr,pr
2020-03-09T14:42:54.339Z,53.8298,-163.0851,29.02,4.2,mb,,200,1.047,0.37,us,us60008chg,2020-03-09T22:45:18.670Z,"115km S of False Pass, Alaska",earthquake,4.2,8.2,0.264,5,reviewed,us,us
2020-03-09T14:13:05.202Z,24.8701,142.7126,10,4.7,mb,,128,2.266,0.58,us,us60008cg1,2020-03-09T17:05:20.040Z,"139km E of Iwo Jima, Japan",earthquake,10.3,1.9,0.058,91,reviewed,us,us
2020-03-09T13:56:11.100Z,40.3903333,-125.0833333,-0.2,3.28,ml,51,265,0.5753,0.29,nc,nc73351960,2020-03-12T07:21:04.720Z,"68km W of Petrolia, CA",earthquake,1.26,2.03,0.137,6,reviewed,nc,nc
2020-03-09T13:44:22.845Z,-24.8955,-69.1642,159.26,4.2,ml,,154,1.158,0.31,us,us60008cfm,2020-03-09T17:03:41.040Z,"144km ENE of Taltal, Chile",earthquake,3.9,17.3,0.055,44,reviewed,us,us
2020-03-09T13:19:18.810Z,36.605,-121.2143333,6.24,2.54,md,54,80,0.04058,0.1,nc,nc73351955,2020-03-12T03:49:02.722Z,"10km NW of Pinnacles, CA",earthquake,0.18,0.34,0.233,39,reviewed,nc,nc
2020-03-09T13:07:44.960Z,18.8486667,-155.2375,10.59,2.64,ml,52,268,0.3718,0.12,hv,hv71418657,2020-03-09T22:53:37.400Z,"47km SSE of Pahala, Hawaii",earthquake,0.98,0.64,0.207,20,reviewed,hv,hv
2020-03-09T11:41:11.146Z,19.1705,145.4463,174.87,4.6,mb,,123,5.577,0.67,us,us60008cet,2020-03-09T12:00:11.040Z,"50km NNW of Agrihan, Northern Mariana Islands",earthquake,9.7,8.2,0.035,241,reviewed,us,us
2020-03-09T11:14:54.770Z,40.5866667,-125.1403333,24.27,3.56,mw,82,242,0.6219,0.25,nc,nc73351900,2020-03-10T11:16:43.555Z,"74km W of Ferndale, CA",earthquake,1.73,10.62,,3,reviewed,nc,nc
2020-03-09T11:04:45.940Z,40.571,-125.0028333,5.63,3.68,mw,37,283,0.5161,0.18,nc,nc73351895,2020-03-10T11:06:33.434Z,"62km W of Ferndale, CA",earthquake,1.33,1,,3,reviewed,nc,nc
2020-03-09T10:30:23.810Z,40.4125,-125.0501667,8.2,2.45,md,30,266,0.5475,0.18,nc,nc73351885,2020-03-11T05:27:05.496Z,"66km W of Petrolia, CA",earthquake,0.82,1.31,0.17,28,reviewed,nc,nc
2020-03-09T09:45:46.843Z,10.9646,138.5994,39.6,5.2,mb,,59,6.659,1.2,us,us60008cdq,2020-03-09T10:00:32.040Z,"156km NNE of Rumung, Micronesia",earthquake,8.5,7.1,0.068,71,reviewed,us,us
2020-03-09T09:35:44.026Z,-4.7484,-80.0376,73.8,4.9,mb,,148,2.397,0.68,us,us60008cdl,2020-03-10T03:07:24.074Z,"25km ESE of Las Lomas, Peru",earthquake,5.6,7.9,0.034,275,reviewed,us,us
2020-03-09T09:11:14.970Z,19.3026,-67.4555,45,3.39,md,7,304,0.9185,0.2,pr,pr2020069008,2020-03-09T09:35:19.116Z,"97km NNW of San Antonio, Puerto Rico",earthquake,2.21,8.69,0.33,5,reviewed,pr,pr
2020-03-09T08:44:51.265Z,31.923,-102.3071,5,2.5,ml,,39,0.284,0.36,us,us60008cd9,2020-03-13T08:19:30.146Z,"10km NNE of Odessa, Texas",earthquake,1.1,1.7,0.105,22,reviewed,us,us
2020-03-09T08:07:24.341Z,1.653,99.489,192.33,4.1,mb,,126,1.944,0.67,us,us60008cd0,2020-03-09T08:48:44.040Z,"40km NE of Padangsidempuan, Indonesia",earthquake,10.2,7.9,0.111,22,reviewed,us,us
2020-03-09T07:19:32.474Z,13.9283,-91.5687,46.63,4.3,mb,,129,0.605,0.78,us,us60008ccq,2020-03-09T08:41:34.040Z,"41km SW of Nueva Concepcion, Guatemala",earthquake,7.2,8.9,0.048,122,reviewed,us,us
2020-03-09T06:32:59.890Z,40.3648333,-125.1431667,7.2,4.94,mw,16,321,0.6168,0.19,nc,nc73351825,2020-03-12T19:32:50.860Z,"73km W of Petrolia, CA",earthquake,1.54,1.86,,4,reviewed,nc,nc
2020-03-09T06:13:00.110Z,40.3513333,-125.053,3.77,2.53,md,35,268,0.5468,0.27,nc,nc73351810,2020-03-12T09:10:05.510Z,"65km W of Petrolia, CA",earthquake,2.43,2.37,0.175,24,reviewed,nc,nc
2020-03-09T05:54:21.690Z,17.8693,-66.8553,13,3.07,md,6,247,0.1085,0.15,pr,pr2020069006,2020-03-09T06:07:53.379Z,"12km SSE of Guanica, Puerto Rico",earthquake,1.32,0.55,0.13,4,reviewed,pr,pr
2020-03-09T05:01:11.440Z,40.3686667,-125.0301667,9.69,2.77,md,18,297,0.5317,0.18,nc,nc73351770,2020-03-12T03:12:02.300Z,"63km W of Petrolia, CA",earthquake,1.44,2.22,0.163,53,reviewed,nc,nc
2020-03-09T04:08:51.410Z,17.85,-66.8666,7,2.65,md,6,252,0.1257,0.2,pr,pr2020069005,2020-03-09T04:23:22.623Z,"14km SSE of Guanica, Puerto Rico",earthquake,1.2,0.58,0.37,5,reviewed,pr,pr
2020-03-09T03:59:41.440Z,17.8431,-66.8908,11,3.18,md,6,255,0.1325,0.15,pr,pr2020069004,2020-03-09T04:21:55.974Z,"14km S of Guanica, Puerto Rico",earthquake,1.15,1.57,0.07,4,reviewed,pr,pr
2020-03-09T03:52:16.030Z,-21.4003,-66.7028,231.98,4.4,mb,,35,2.063,1.2,us,us60008cb0,2020-03-09T04:24:09.040Z,"71km SW of Atocha, Bolivia",earthquake,10,18.1,0.169,10,reviewed,us,us
2020-03-09T03:48:01.680Z,-19.1293,-177.7585,581.71,4.1,mb,,141,4.207,1.14,us,us60008cb6,2020-03-09T04:16:18.040Z,"195km NNE of Ndoi Island, Fiji",earthquake,10.3,7.1,0.061,73,reviewed,us,us
2020-03-09T03:26:37.308Z,61.4731,-149.8975,29.1,3.9,ml,,,,0.72,ak,ak0203660wbj,2020-03-11T03:29:04.887Z,"5km SSE of Big Lake, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-03-09T03:18:02.560Z,17.9266,-67.0008,6,2.71,md,6,236,0.1309,0.05,pr,pr2020069002,2020-03-09T04:02:43.040Z,"11km S of La Parguera, Puerto Rico",earthquake,0.72,0.29,0.41,6,reviewed,pr,pr
2020-03-09T02:59:08.860Z,40.3916667,-125.0936667,3.19,5.77,mw,40,277,0.5832,0.29,nc,nc73351710,2020-03-14T00:48:33.369Z,"69km W of Petrolia, CA",earthquake,0.99,1.38,,4,reviewed,nc,nc
2020-03-09T02:39:48.674Z,56.3985,-157.258,3,2.6,ml,,,,0.39,ak,ak020365ia7m,2020-03-09T02:48:35.785Z,"94km E of Chignik Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-09T01:46:40.977Z,62.2004,-151.1813,58.4,2.6,ml,,,,0.63,ak,ak020364ybro,2020-03-09T02:18:23.040Z,"55km WSW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-03-09T01:06:59.800Z,17.9198,-66.9458,7,2.78,md,8,230,0.0866,0.08,pr,pr2020069000,2020-03-09T01:47:30.040Z,"12km SSW of Guanica, Puerto Rico",earthquake,0.85,0.33,0.14,3,reviewed,pr,pr
2020-03-08T23:39:08.332Z,11.8517,125.5543,35,4.9,mb,,73,4.751,0.9,us,us60008c8m,2020-03-14T01:04:32.640Z,"11km ENE of Sulat, Philippines",earthquake,9.4,1.9,0.066,72,reviewed,us,us
2020-03-08T23:35:19.740Z,19.104,-67.6941,28,3.53,md,10,235,0.751,0.44,pr,pr2020068058,2020-03-09T07:37:53.943Z,"80km NW of San Antonio, Puerto Rico",earthquake,2.64,27.74,0.32,10,reviewed,pr,pr
