nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,YAGUARA,-75.5180231181,2.66469363692,41885000,1014,2021,4,238.14,1717.44,0,0,0,720,50.12,0,0,0,0,0,0,2725.7,1
ELECTRIFICADORA DEL META S.A. E.S.P.,VILLAVICENCIO,-73.624562528,4.1238593011,50001000,600,2021,4,137.59,6654.25,2.7,5.47,9.5,9511.32,1222.88,194.16,0,0,0,0,0,17737.88,1
ELECTRIFICADORA DEL META S.A. E.S.P.,ACACIAS,-73.7659360698,3.99012009704,50006000,600,2021,4,0.19,2718.11,0.45,0,2.84,891,373.98,25.26,0,0,0,0,0,4011.82,1
EMPRESA DE ENERGIA DE CASANARE SA ESP,BARRANCA DE UPIA,-72.9632757114,4.56720152053,50110000,3370,2021,4,73.78,2537.2,0,0,0,0,0,0,0,0,0,0,0,2610.98,1
ELECTRIFICADORA DEL META S.A. E.S.P.,CABUYARO,-72.7919811358,4.28592465004,50124000,600,2021,4,0,67.02,0,0,0,79.67,8.03,0,0,0,0,0,0,154.72,1
ELECTRIFICADORA DEL META S.A. E.S.P.,CASTILLA LA NUEVA,-73.6881308587,3.82804244894,50150000,600,2021,4,0.02,165.95,0,0,0,167.01,155.41,0,0,0,0,0,0,488.39,1
ELECTRIFICADORA DEL META S.A. E.S.P.,CUBARRAL,-73.8377386881,3.79361967387,50223000,600,2021,4,5.71,173.27,71.76,0,0,74.08,110.52,0,0,0,0,0,0,435.35,1
ELECTRIFICADORA DEL META S.A. E.S.P.,CUMARAL,-73.4861069057,4.26953744789,50226000,600,2021,4,29.67,882.47,0,0,0,268.95,253.29,2.96,0,0,0,0,0,1437.35,1
ELECTRIFICADORA DEL META S.A. E.S.P.,EL CALVARIO,-73.7133268969,4.35261856617,50245000,600,2021,4,0.41,12.26,0,0,0,0,0,0,0,0,0,0,0,12.66,1
ELECTRIFICADORA DEL META S.A. E.S.P.,EL CASTILLO,-73.7940123336,3.56383333473,50251000,600,2021,4,0.05,47.69,89.73,0,0,37.94,66.54,15.34,0,0,0,0,0,257.3,1
ELECTRIFICADORA DEL META S.A. E.S.P.,EL DORADO,-73.8350177222,3.7399977854,50270000,600,2021,4,2.12,71.3,53.01,0,0,17.22,39.29,0,0,0,0,0,0,182.96,1
ELECTRIFICADORA DEL META S.A. E.S.P.,FUENTEDEORO,-73.6179805402,3.46287020088,50287000,600,2021,4,18.32,315.8,136.14,0,0,145.52,129.78,0,0,0,0,0,0,745.55,1
